rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1186/s40648-024-00273-3,Tactile sensor-less fingertip contact detection and force estimation for stable grasping with an under-actuated hand,2024,ROBOMECH Journal,https://doi.org/10.1186/s40648-024-00273-3,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/robotics8040085,Tactile-Driven Grasp Stability and Slip Prediction,2019,Robotics,https://doi.org/10.3390/robotics8040085,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1109/lra.2022.3205768,A Soft Barometric Tactile Sensor to Simultaneously Localize Contact and Estimate Normal Force With Validation to Detect Slip in a Robotic Gripper,2022,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2022.3205768,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1109/icra46639.2022.9812186,Leveraging distributed contact force measurements for slip detection: a physics-based approach enabled by a data-driven tactile sensor,2022,2022 International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra46639.2022.9812186,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1016/j.engfailanal.2026.110526,Physical model of electrical contact friction for wear failure analysis and prediction of aerospace slip rings,2026,Engineering Failure Analysis,https://doi.org/10.1016/j.engfailanal.2026.110526,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1016/j.measurement.2024.114249,Friction coefficient estimation before gross slip for slippage prediction during prosthetic hand grasping,2024,Measurement,https://doi.org/10.1016/j.measurement.2024.114249,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1109/tim.2023.3343795,A Nonarray Soft Capacitive Tactile Sensor With Simultaneous Contact Force and Location Measurement for Intelligent Robotic Grippers,2023,IEEE Transactions on Instrumentation and Measurement,https://doi.org/10.1109/tim.2023.3343795,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.36227/techrxiv.22145723,A Novel Incipient Slip Degree Evaluation Method and its Application in Adaptive Control of Grasping Force,,,https://doi.org/10.36227/techrxiv.22145723,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1089/soro.2020.0213,Sim-to-Real for High-Resolution Optical Tactile Sensing: From Images to Three-Dimensional Contact Force Distributions,2022,Soft Robotics,https://doi.org/10.1089/soro.2020.0213,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1002/aisy.202100047,Interactive Force Control Based on Multimodal Robot Skin for Physical Human−Robot Collaboration,2022,Advanced Intelligent Systems,https://doi.org/10.1002/aisy.202100047,Addresses tactile and force prediction or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Micro slip precontact prediction keeps action-critical alternatives explicit until a physical observation collapses them.
